itemid,total
678a1c349ce810f56b9dfe34,1000
678a1c462271fc64ad3a23ed,1000
678a1c8993f82944618b5b05,1000
678a1c94f51a4cee50f94d30,1000
678a1cb2ed37ff7854c3cc71,1000
678a1cbddc655d40e4b8eff2,1000
678a1cdbdc655d40e4b8f020,1000
678a1cefcb0626ced492c510,1000
678a1d3579d6f2851484a69b,1000
678a1d4141e0fed88c78bc71,1000
678a1d750be507568054dadd,1000
678a1d830774e301ba592bdb,1000
678a1db6b3eb004d65331637,1000
678a1dc142ad7b99c07b37b8,1000
678a1de6640cc7298b3d3e74,1000
678a1df4cb0626ced492cbc8,1000
678a1e288d171de832059513,1000
678a1e311c7e491e6e66c78a,1000
678a1e4906b55c5b0c6df921,1000
678a1e5449aa618ef73be856,1000
678a1e948f22293bb481ef3c,1000
678a1ea011decd4c92a6a146,1000
678a1ec65b3a111ce6ff789f,1000
678a1ed21c7e491e6e66ca18,1000
678a1ef0495eab7de31d8ae2,1000
678a1efadfb3fd7406485c98,1000
678a1f066b55c39779baf2b1,1000
678a1f23ed37ff7854c3d263,1000
678a1f2d144adafe21cbb9f4,1000
678a1fc5ba9cb0c6030f6c90,1000
678a1fcf4e1f17f63dcb252c,1000